feature,coefficient
Elvish CaptainElvish Sorceress,0.010366971502843105
Elvish CaptainFire Drake,-0.12213013955943681
Elvish CaptainJavelineer,-0.005921731986611331
Elvish CaptainLieutenant,-0.053616416371555606
Elvish CaptainLongbowman,-0.26912758556000926
Elvish CaptainNecrophage,-0.24738736754476395
Elvish CaptainOrcish Crossbowman,-0.25342371465323793
Elvish CaptainOrcish Slayer,-0.17885844894843583
Elvish CaptainOrcish Warrior,0.0520313813561481
Elvish CaptainPikeman,-0.17242446052643012
Elvish CaptainRed Mage,-0.24882301453409766
Elvish CaptainRevenant,0.023722125230948847
Elvish CaptainRogue,-0.07261258840840505
Elvish CaptainSwordsman,-0.09888393030473658
Elvish CaptainTabib,0.6250204212524131
Elvish CaptainTrapper,-0.04594459674292378
Elvish CaptainTroll,-0.10909320730950448
Elvish CaptainTroll Rocklobber,0.061421006234796294
Elvish CaptainWhite Mage,0.035941496039255214
Elvish DruidElvish Druid,-0.6841691308644713
Elvish DruidElvish Hero,0.1505175059470275
Elvish DruidElvish Marksman,0.07479993120268875
Elvish DruidElvish Ranger,0.15213386049841826
Elvish DruidElvish Sorceress,-0.4029272233313764
Elvish DruidFire Drake,0.022086338768721517
Elvish DruidJavelineer,0.04641698301013213
Elvish DruidLieutenant,0.11129829134833107
Elvish DruidLongbowman,0.2469385317555425
Elvish DruidNecrophage,0.12133660568321401
Elvish DruidOrcish Crossbowman,-0.24749871093063475
Elvish DruidOrcish Slayer,-0.13471557943156148
Elvish DruidOrcish Warrior,0.09947522641681732
Elvish DruidPikeman,0.04927586557323646
Elvish DruidRed Mage,-0.08285973398492015
Elvish DruidRevenant,0.23838881848640386
Elvish DruidRogue,-0.14985854489773676
Elvish DruidSwordsman,-0.033001731142697374
Elvish DruidTrapper,0.1614842472215551
Elvish DruidTroll,-0.06739056476005457
Elvish DruidTroll Rocklobber,0.06731813512640394
Elvish DruidWhite Mage,-0.029776914275119318
Elvish EnchantressTroll Warrior,-0.6825191289878855
Elvish HeroElvish Hero,-0.6841862971898075
Elvish HeroElvish Marksman,-0.3730407321762834
Elvish HeroElvish Ranger,0.24591594442919618
Elvish HeroElvish Sorceress,-0.4870736856301311
Elvish HeroFire Drake,0.006012411234279597
Elvish HeroJavelineer,0.512667840224861
Elvish HeroLieutenant,-0.01021545729399647
Elvish HeroLongbowman,0.016376481081750206
Elvish HeroMuharib,-0.7779262270394045
Elvish HeroNecrophage,-0.3631658021170929
Elvish HeroOrcish Crossbowman,0.1112330766904478
Elvish HeroOrcish Slayer,-0.33758911972384986
Elvish HeroOrcish Warrior,-0.1540560191716579
Elvish HeroPikeman,-0.23302469521803063
Elvish HeroRed Mage,-0.004536846351153477
Elvish HeroRevenant,0.16015341712145262
Elvish HeroRogue,-0.13883741644800213
Elvish HeroSwordsman,0.16663834977334838
Elvish HeroTrapper,-0.1932672736081546
Elvish HeroTroll,0.003004681061305404
Elvish HeroTroll Rocklobber,0.01908428136965852
Elvish HeroWhite Mage,-0.07738651126955985
Elvish MarksmanElvish Marksman,0.1554380688919606
Elvish MarksmanElvish Ranger,-0.15978378683689526
Elvish MarksmanElvish Sorceress,0.1521520919428638
Elvish MarksmanFire Drake,-0.1510096826247431
Elvish MarksmanGhazi,0.6250203787966486
Elvish MarksmanJavelineer,-0.06044506547291788
Elvish MarksmanLieutenant,-0.0018159864207826486
Elvish MarksmanLongbowman,0.08787035089008793
Elvish MarksmanNecrophage,-0.7157343812483021
Elvish MarksmanOrcish Crossbowman,0.03776494861656613
Elvish MarksmanOrcish Slayer,-0.1757908645194968
Elvish MarksmanOrcish Warrior,0.22141449878161062
Elvish MarksmanPikeman,-0.046478706361055076
Elvish MarksmanRed Mage,0.016211382560009344
Elvish MarksmanRevenant,0.05662483223290184
Elvish MarksmanRogue,-0.006000067491602969
Elvish MarksmanSwordsman,-0.0604450821226126
Elvish MarksmanTrapper,0.223061722373548
Elvish MarksmanTroll,-0.07118925120792112
Elvish MarksmanTroll Rocklobber,-0.08343106309424844
Elvish MarksmanWhite Mage,0.08924776243346111
Elvish RangerElvish Ranger,-0.12101687617077482
Elvish RangerElvish Sorceress,0.24408885172647674
Elvish RangerFire Drake,-0.024013755614416182
Elvish RangerJavelineer,0.10650919690982517
Elvish RangerLieutenant,-0.05518566697104551
Elvish RangerLongbowman,-0.09891254696416506
Elvish RangerNecrophage,0.2138114696567673
Elvish RangerOrcish Crossbowman,-0.17624128567700706
Elvish RangerOrcish Slayer,0.037764930322916404
Elvish RangerOrcish Warrior,0.01908609092150872
Elvish RangerPikeman,0.0931624339670813
Elvish RangerRed Mage,0.05377848902211312
Elvish RangerRevenant,-0.0776290740309396
Elvish RangerRogue,-0.11521859255778774
Elvish RangerSwordsman,-0.21449137145236843
Elvish RangerTrapper,0.11184933037209266
Elvish RangerTroll,0.10206514647893966
Elvish RangerTroll Rocklobber,0.03594570380899364
Elvish RangerWhite Mage,-0.12227639936571882
Elvish SorceressElvish Sorceress,-0.39971665864658995
Elvish SorceressFire Drake,0.08492282975720698
Elvish SorceressJavelineer,0.13554965610513403
Elvish SorceressLieutenant,0.0010160047584979323
Elvish SorceressLongbowman,0.183263576844359
Elvish SorceressNecrophage,0.21379596445706966
Elvish SorceressOrcish Crossbowman,-0.03855269702976022
Elvish SorceressOrcish Slayer,0.019083319545938084
Elvish SorceressOrcish Warrior,0.06232529527612888
Elvish SorceressPikeman,0.18920842204539456
Elvish SorceressRed Mage,-0.12276368510217787
Elvish SorceressRevenant,0.2519195713306385
Elvish SorceressRogue,-0.0396366612912207
Elvish SorceressSaurian Oracle,0.7205099254578219
Elvish SorceressSwordsman,0.10273543670330805
Elvish SorceressTrapper,-0.10098472365361054
Elvish SorceressTroll,-0.06134610338975342
Elvish SorceressTroll Rocklobber,0.216723227275474
Elvish SorceressWhite Mage,0.051836203011794264
Fire DrakeFire Drake,0.26333807348454163
Fire DrakeJavelineer,0.042772436620464815
Fire DrakeLieutenant,-0.003267973492579379
Fire DrakeLongbowman,-0.21255318227051484
Fire DrakeNecrophage,0.7247716139436663
Fire DrakeOrcish Crossbowman,0.04721928715777029
Fire DrakeOrcish Slayer,-0.0403892822297507
Fire DrakeOrcish Warrior,-0.09836576541364882
Fire DrakePikeman,0.20148537366541197
Fire DrakeRed Mage,-0.12972368859433528
Fire DrakeRevenant,0.01693696607520352
Fire DrakeRogue,0.18974428903701684
Fire DrakeSwordsman,-0.012033634960237237
Fire DrakeTrapper,0.11021635149384346
Fire DrakeTroll,-0.03611606108009675
Fire DrakeTroll Rocklobber,-0.09285748975855677
Fire DrakeWhite Mage,0.03840932109187152
GeneralInferno Drake,-0.70223860480242
GhaziPikeman,0.7715021210398653
HalberdierMage of Light,0.7091982237770128
JavelineerJavelineer,-0.10929785301763185
JavelineerLieutenant,0.1460641360003925
JavelineerLongbowman,-0.21940076258333038
JavelineerNecrophage,-0.3281453516206479
JavelineerOrcish Crossbowman,-0.05796547577505573
JavelineerOrcish Slayer,-0.12721905916703038
JavelineerOrcish Warrior,0.05186035837624692
JavelineerPikeman,-0.07427412127477818
JavelineerRed Mage,-0.10972370766656254
JavelineerRevenant,-0.14958319820473176
JavelineerRogue,0.2728391258409702
JavelineerSaurian Oracle,0.6978416514153595
JavelineerSwordsman,0.12034591004171079
JavelineerTrapper,0.29750499737783764
JavelineerTroll,0.03778159341714686
